Workout	Exercise	Reps	Weight
Push	Flat Chest Dumbbells	12	44
Push	Flat Chest Dumbbells	12	48
Push	Flat Chest Dumbbells	9	52
Push	Flat Chest Dumbbells	8	52
Push	Incline Chest Dumbbells	12	40
Push	Incline Chest Dumbbells	11	44
Push	Incline Chest Dumbbells	9	48
Push	Incline Chest Dumbbells	7	48
Push	Shoulder Press	12	28
Push	Shoulder Press	12	28
Push	Shoulder Press	10	32
Push	Shoulder Press	9	32
Push	Skull Crushers	12	22.5
Push	Skull Crushers	12	22.5
Push	Skull Crushers	12	25
Push	Skull Crushers	12	25
Push	Dumbbell Flys	10	36
Push	Dumbbell Flys	10	36
Push	Dumbbell Flys	9	36
Push	Dumbbell Flys	8	36
Push	Tricep Push Downs	12	23
Push	Tricep Push Downs	12	23
Push	Tricep Push Downs	12	27
Push	Shrugs	12	52
Push	Shrugs	12	56
Push	Shrugs	12	60
