Workout	Exercise	Reps	Weight
legs and arms	cycle	n/a	n/a
legs and arms	pull-ups	4	n/a
legs and arms	pull-ups	4	n/a
legs and arms	pull-ups	4	n/a
legs and arms	squats	12	20
legs and arms	squats	12	60
legs and arms	squats	12	65
legs and arms	squats	12	70
legs and arms	squats	12	75
legs and arms	leg press	20	110
legs and arms	leg press	20	120
legs and arms	leg press	20	130
legs and arms	leg press	20	140
legs and arms	leg press	20	150
legs and arms	leg press	20	160
legs and arms	close grip dumbbell press	12	36
legs and arms	close grip dumbbell press	12	40
legs and arms	close grip dumbbell press	11	44
legs and arms	skull crushers	12	22.5
legs and arms	skull crushers	12	25
legs and arms	skull crushers	12	27.5
legs and arms	tricep push downs	12	27
legs and arms	tricep push downs	12	32
legs and arms	preacher curls	12	32.5
legs and arms	preacher curls	12	35
legs and arms	preacher curls	12	35
legs and arms	preacher curls	12	37.5
