Workout	Exercise	Reps	Weight
chest, shoulders and abs	flat chest dumbbells	12	44
chest, shoulders and abs	flat chest dumbbells	12	48
chest, shoulders and abs	flat chest dumbbells	10	52
chest, shoulders and abs	flat chest dumbbells	8	56
chest, shoulders and abs	incline chest dumbbells	12	40
chest, shoulders and abs	incline chest dumbbells	10	44
chest, shoulders and abs	incline chest dumbbells	8	48
chest, shoulders and abs	incline chest dumbbells	6	52
chest, shoulders and abs	dumbbell flys	12	36
chest, shoulders and abs	dumbbell flys	12	36
chest, shoulders and abs	shoulder press	12	28
chest, shoulders and abs	shoulder press	10	32
chest, shoulders and abs	shoulder press	8	36
chest, shoulders and abs	shoulder press	6	36
chest, shoulders and abs	dumbbell shoulder flys	12	24
chest, shoulders and abs	dumbbell shoulder flys	12	28
chest, shoulders and abs	dumbbell shoulder flys	8	32
chest, shoulders and abs	dumbbell front raise	8	20
chest, shoulders and abs	dumbbell front raise	8	24
chest, shoulders and abs	dumbbell front raise	8	28
chest, shoulders and abs	hanging knee raise	8	n/a
chest, shoulders and abs	hanging knee raise	8	n/a
chest, shoulders and abs	hanging leg raise	6	n/a
chest, shoulders and abs	hanging leg raise	6	n/a
chest, shoulders and abs	hanging leg raise	6	n/a
chest, shoulders and abs	hanging leg raise	6	n/a
