Meal	Name	Brand	Amount	Quantity
Breakfast	Scottish oats	Tesco	48g	n/a
Breakfast	whole milk	Co-op	200g	n/a
Breakfast	egg	any	n/a	3
Breakfast	mature cheddar slice	Tesco	n/a	2
Mid-morning	watermelon	Tesco	300g	n/a
Lunch	canned wild pink salmon	Tesco	212g	1
Pre-workout	Gala apple	any	100g	2
Pre-workout	date	Madinah Delight	12g	2
Pre-workout	whey protein	Gold Standard	32g	1
Post-workout	whey protein	Gold Standard	32g	1
Dinner	British beef quarter pounder	Tesco	114g	1
Dinner	wholegrain basmati rice	Tilda	145g	n/a
Dinner	mediterranean style veg	Tesco	200g	n/a
Dinner	date	Madinah Delight	12g	2
